Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-05-24,154.7,155.43,153.29,155.0,4592587.0,0.0,1.0,140.61555927218586,141.27909746396801,139.33393070997653,140.8882462003155,4592587.0
2017-05-23,155.91,156.43,154.68,154.83,4640854.0,0.0,1.0,141.71539654897543,142.18805389106683,140.5973801436439,140.73372360770873,4640854.0
2017-05-22,156.49,157.0,155.8,155.96,3800660.0,0.0,1.0,142.24259127669274,142.70615905451314,141.61541134199456,141.76084437033037,3800660.0
2017-05-19,156.04,156.74,155.32,156.3,4781806.0,0.0,1.0,141.83356088449827,142.46983038346744,141.1791122569871,142.06988955554397,4781806.0
2017-05-18,155.48,156.665,155.24,155.7,4858557.0,0.0,1.0,141.32454528532293,142.401658651435,141.10639574281925,141.52451569928468,4858557.0
2017-05-17,157.08,157.3,155.89,156.09,5936974.0,0.0,1.0,142.77887556868106,142.97884598264278,141.69721742043345,141.8790087058532,5936974.0
2017-05-16,160.11,160.86,158.05,158.26,10120878.0,0.0,1.0,145.53301354279043,146.21473086311454,143.6605633029669,143.85144415265762,10120878.0
2017-05-15,157.28,157.84,156.66,157.33,6045540.0,0.0,1.0,142.9606668541008,143.46968245327614,142.39711386929955,143.00611467545576,6045540.0
2017-05-12,156.39,157.2,155.75,156.92,2926365.0,0.0,1.0,142.15169563398285,142.88795033993287,141.56996352063962,142.63344254034521,2926365.0
2017-05-11,157.35,157.7,155.33,156.2,3929068.0,0.0,1.0,143.02429380399772,143.34242855348228,141.18820182125813,141.97899391283408,3929068.0
2017-05-10,157.52,158.15,157.3,158.13,2617601.0,0.0,1.0,143.17881639660453,143.75145894567677,142.97884598264278,143.7332798171348,2617601.0
2017-05-09,157.04,157.74,156.29,157.68,3004377.0,0.0,1.0,142.74251731159708,143.37878681056625,142.06079999127297,143.32424942494032,3004377.0
2017-05-08,155.85,157.16,155.49,156.89,3184576.0,0.0,1.0,141.6608591633495,142.85159208284892,141.33363484959395,142.60617384753226,3184576.0
2017-05-05,155.34,155.75,154.09,155.73,2500636.0,0.0,1.0,141.1972913855291,141.56996352063962,140.0610958516556,141.55178439209763,2500636.0
2017-05-04,155.46,155.64,154.26,154.86,3793067.0,0.0,1.0,141.30636615678097,141.46997831365874,140.2156184442624,140.76099230052168,3793067.0
2017-05-03,155.16,155.39,154.59,155.0,2445464.0,0.0,1.0,141.03367922865132,141.24273920688404,140.51557406520502,140.8882462003155,2445464.0
2017-05-02,154.49,155.16,153.76,154.95,3295105.0,0.0,1.0,140.42467842249513,141.03367922865132,139.76114023071298,140.84279837896057,3295105.0
2017-05-01,156.22,156.27,154.21,154.21,3152949.0,0.0,1.0,141.99717304137604,142.042620862731,140.17017062290745,140.17017062290745,3152949.0
2017-04-28,156.01,156.25,154.102,156.1,4983041.0,0.0,1.0,141.8062921916853,142.02444173418903,140.0720033287808,141.8880982701242,4983041.0
2017-04-27,154.69,156.27,153.89,156.12,5881432.0,0.0,1.0,140.60646970791487,142.042620862731,139.87930456623582,141.9062773986662,5881432.0
2017-04-26,153.11,154.8076,152.4,154.22,5120177.0,0.0,1.0,139.17031855309878,140.71336298374172,138.52495948985862,140.17926018717844,5120177.0
2017-04-25,152.79,154.65,152.79,153.03,5496453.0,0.0,1.0,138.87945249642712,140.57011145083092,138.87945249642712,139.09760203893086,5496453.0
